email,group,promotional_email_subject,click
nuraisyaha@littleblueroom.com,control,generic,0
nediahafiezahk08@australiamail.com,control,generic,0
harjotaufikcs@tempomail.fr,control,generic,1
salmahutami5w@mail2coastguard.com,treatment,personalization,0
fandykrisnak@dwp.net,treatment,personalization,0
goenawang@minermail.com,control,generic,0
bachtiarrq@mail2java.com,control,generic,0
raffijanurit2@getonemail.com,control,generic,0
ilhamgedeqx@mail2fighter.com,control,generic,0
zidanenikodemusv@centurytel.net,treatment,personalization,0
syafiiaminullah3wu@photo-impact.eu,treatment,personalization,0
hamdiahv28@mail2billy.com,control,generic,1
ibunyomanwm@hotcoolmail.com,treatment,personalization,0
kusumafakhriyah6g@comcast.com,treatment,personalization,0
ependi@dallasmail.com,control,generic,0
dhanacucujdi@kitemail.com,treatment,personalization,0
hasibahpriskianael@spammotel.com,treatment,personalization,0
akmadh@mail2noah.com,treatment,personalization,0
yuda@frontier.com,treatment,personalization,1
madebernardiaqrw@ipex.ru,treatment,personalization,0
noldianugraho@hot-shot.com,control,generic,0
saifanuryum@mail2shawn.com,treatment,personalization,0
prisiasaidah@xoommail.com,control,generic,0
guruh7@yahoo.in,control,generic,0
rugayahta@mancity.net,treatment,personalization,0
khairunnisayuniagvx@mail2aha.com,control,generic,1
sariwatid@tds.net,treatment,personalization,0
shiane@discard.gq,control,generic,0
wahyuningsihnurmala6@xents.com,control,generic,0
mahfudwidodos@nospamfor.us,treatment,personalization,0
suryanti7kj@wooow.it,control,generic,0
shofiyahp@roughnet.com,treatment,personalization,0
luthfibudiarto_uv@mail2noel.com,treatment,personalization,0
budhi_ih@homeart.com,control,generic,0
novitamegawatisb@add3000.pp.ua,treatment,personalization,1
hasanamat0sv@webcammail.com,control,generic,0
nengahamsal@bigpond.com.au,treatment,personalization,0
lutfitana70e@ruttolibero.com,control,generic,0
boentorotaufiq9u@mail2vienna.com,treatment,personalization,1
nurmalitazj@guerrillamail.com,control,generic,0
ependil@fishfuse.com,control,generic,0
enengnurhaliza@wrongmail.com,control,generic,0
meilianaw@indo-mail.com,control,generic,0
fitrianahebm@marriedandlovingit.com,control,generic,0
kartika@bigramp.com,control,generic,0
nurdinhl@mail2edgar.com,treatment,personalization,0
patimahanestasiaep@sneakemail.com,treatment,personalization,1
jadidagungg@burnthespam.info,treatment,personalization,0
ismatullahraharjoz@mail2norway.com,treatment,personalization,1
amatsa@yahoo.com.tr,treatment,personalization,0
farhanah8dh@raubtierbaendiger.de,control,generic,0
zalmamahfudzahgtg@brujula.net,control,generic,0
cindua20e@moscowmail.com,control,generic,0
budiman_6@geologist.com,treatment,personalization,1
aqnest@cox.net,control,generic,0
rahmahv@prepodavatel.ru,control,generic,0
chaerunnisaputroev4@safetypost.de,control,generic,0
dian1i@mail2usa.com,treatment,personalization,0
syamsiahpn@3dmail.com,treatment,personalization,1
rasyadfirman7@sci.fi,treatment,personalization,1
atmadamarl@photo-impact.eu,control,generic,0
jamilahkiranad@emailasso.net,control,generic,0
marnov@mail2found.com,treatment,personalization,0
andarsakti@bakpaka.net,treatment,personalization,0
nuraenirafiqah1fl@nc.ru,treatment,personalization,0
candrawatifz3@bigpond.net.au,treatment,personalization,1
maisarahwo@indyracers.com,treatment,personalization,0
muhammatjif@doramail.com,treatment,personalization,0
saifuddinmaulana_zs@football.theboys.com,treatment,personalization,0
sintashafa@tempemail.com,control,generic,0
azisa3@mail2moon.com,treatment,personalization,1
masidahn@happycounsel.com,treatment,personalization,0
mulyadi@oninet.pt,treatment,personalization,0
deuiso@moldova.com,control,generic,0
mutia@ynnmail.com,control,generic,0
jihannovitapc@worldmailer.com,treatment,personalization,0
zulkipliiyj@astrosfan.com,control,generic,0
asefu0@imap.cc,control,generic,0
arij@addcom.de,treatment,personalization,1
setyawatimahfudzahm@mail2tourist.com,treatment,personalization,0
rezki9l@slickriffs.co.uk,treatment,personalization,0
haedarbiss5r@bigblue.net.au,control,generic,0
hartonofandiw@thexyz.mobi,control,generic,0
hanafifandy7@info66.com,control,generic,0
mukhlisbudiman@disign-concept.eu,control,generic,0
meulus@office-dateien.de,treatment,personalization,1
bayubj@canwetalk.com,treatment,personalization,0
kadir@mail2protect.com,control,generic,0
budiharto4@schweiz.org,treatment,personalization,0
subektimuchamad47@tfz.net,control,generic,0
wahyudinbagus_49@city-of-cambridge.com,treatment,personalization,0
budionohasyimw8s@7mail.ga,control,generic,0
soekarnof9o@careerbuildermail.com,control,generic,0
acengh@live.com.ar,control,generic,1
wandihamdiyah@housefan.com,control,generic,0
hanifahkhalisahe@mail2composer.com,treatment,personalization,1
graceliatijahge5@mail2alcoholic.com,control,generic,0
galuhdhiensn@freeuk.com,treatment,personalization,1
erwianahafidzahu@drdrb.net,treatment,personalization,0
harysalahudinab@sialkotian.com,treatment,personalization,0
haniah@countrylover.com,treatment,personalization,0
ratihfitrianih@poczta.onet.pl,treatment,personalization,1
mawarrafiana04@myotw.net,control,generic,0
izzatimaulinaj62@maltesemail.com,control,generic,0
setyawatilaela1@club-internet.fr,control,generic,1
mochtarkhabibw@mail2convict.com,control,generic,1
yunitaluh0@automotiveauthority.com,control,generic,0
susilawati@mp3haze.com,treatment,personalization,1
taib3_@litedrop.com,treatment,personalization,1
erlanggakurniawanc4@mail2mouseketeer.com,treatment,personalization,0
ariya@bigger.com,treatment,personalization,0
citra0w@n2baseball.com,control,generic,0
mahfudzzulkarnaen@mail2kelly.com,treatment,personalization,1
chalidazisj@fastsuzuki.com,control,generic,1
arsyadkawasae0@grapplers.com,control,generic,0
alzenaratrir@mail2rich.com,control,generic,0
zhalihartomvd@trash-mail.ga,treatment,personalization,0
bintang@cheerful.com,treatment,personalization,0
pratiwisf@mail2crave.com,treatment,personalization,0
nuraeniserix5@geologist.com,control,generic,0
habibah8x@zeeks.com,treatment,personalization,0
meurahaa@secret-police.com,control,generic,0
alamtembang89@outgun.com,treatment,personalization,0
mahmudasepu9@toke.com,control,generic,1
abasmachmudk@mailinator.net,control,generic,1
muinr@mailguard.me,control,generic,0
danial3@mail2argentina.com,control,generic,1
danialgandung_xg@krunis.com,control,generic,0
bagusmahfud5qg@disposableemailaddresses.com,control,generic,0
anisad5@domforfb8.tk,control,generic,0
aidahwayane6@fire-brigade.com,treatment,personalization,0
fransiskossuwarno6q@mail2oliver.com,control,generic,1
zuraidasalimahrk_@mutantweb.com,treatment,personalization,0
fairuzahatanasia40f@songwriter.net,treatment,personalization,1
meutia_i9@7tags.com,treatment,personalization,0
yudas4@thankyou2010.com,control,generic,0
senin5q@pacificwest.com,treatment,personalization,0
fatimah@mail2japanese.com,treatment,personalization,0
respatibentang3@obobbo.com,treatment,personalization,0
qalbinurrza@mycard.net.ua,treatment,personalization,1
saidahtt@zoominternet.net,control,generic,1
rinawatilarasatix8@37.com,treatment,personalization,0
muinakhmatz@politician.com,treatment,personalization,0
ahdijadid0d@surf3.net,control,generic,1
sakinahr@mail2bill.com,treatment,personalization,0
khaerunisa2@opendiary.com,control,generic,0
gunture@kitznet.at,control,generic,0
jahjao@outlook.co.nz,treatment,personalization,0
hakimbasrim@caramail.com,control,generic,1
rizqiyaningsihp@pulp-fiction.com,treatment,personalization,0
chairudineffendiehy@playstation.sony.com,control,generic,0
arsalratnacandrao@teacher.com,treatment,personalization,0
suparmanyy@subnetwork.com,control,generic,0
khrisnafachrion@mail2republican.com,treatment,personalization,0
endang@st-davids.net,control,generic,0
whisnugedeo@modernenglish.com,treatment,personalization,0
machmudu@bmlsports.net,control,generic,0
aditiaandhika3@mail2sexy.com,control,generic,1
mardhiahcn@mail2senegal.com,control,generic,0
bambangpurnomo@mail2judge.com,control,generic,0
hilmish@manager.de,control,generic,0
mahmudicecengt_@mail2bombay.com,treatment,personalization,1
ariefwibowoxn@planetall.com,control,generic,0
fatimahmwc@partybombe.de,control,generic,0
nuraeniwidyaningsihup@altavista.net,treatment,personalization,1
syamsudinq@mail2eli.com,treatment,personalization,0
ardyketutm@mail2mali.com,treatment,personalization,0
nugrahaabdulazis943@mail2pediatrician.com,treatment,personalization,0
zaenabep9@emailz.gq,treatment,personalization,0
raffilesmana6@lr7.us,control,generic,0
cahyadij@married-not.com,treatment,personalization,1
meilisag4n@pacificwest.com,control,generic,0
supian3@cuteandcuddly.com,treatment,personalization,0
robiyt@mail2costarica.com,control,generic,0
hamengkubuwonokomar@paidforsurf.com,treatment,personalization,0
ekonedia7z@brew-meister.com,treatment,personalization,0
hendranimatullahv_@zensearch.net,control,generic,0
hafizab@front.ru,treatment,personalization,0
ikhlasc9q@thepostmaster.net,control,generic,0
kasihjunitawm@mail2president.com,treatment,personalization,0
hidayatullahgunawang8@zweb.in,treatment,personalization,0
fakhriahjelitaa@chauhanweb.com,treatment,personalization,1
dhanamemoirk@id-base.com,control,generic,0
bentang3n@planetaccess.com,control,generic,1
qalbinur4@freezone.co.uk,control,generic,1
azimah38@mail2teacher.com,treatment,personalization,0
aisyahcinta2j@fromconnecticut.com,control,generic,0
munawarratnacandra9w@shaniastuff.com,control,generic,0
kadekcandrawati@muslimemail.com,treatment,personalization,0
cahyakhairiawl@mail2jackie.com,control,generic,0
agoengxo4@mail2earl.com,control,generic,0
hartonon88@freeandsingle.com,treatment,personalization,1
lutfifahmix@topchat.com,treatment,personalization,0
daudu@wirsindcool.de,control,generic,0
aininoorhayatiex@mail2kirk.com,control,generic,0
jamaludinsaifanurl@thestreetfighter.com,treatment,personalization,1
azanwawanbt@dogmail.co.uk,control,generic,1
nimasbuleuen5s@cable.comcast.com,treatment,personalization,0
seri4y@inbox.lv,treatment,personalization,1
suryanamarcei3y@mail2star.com,treatment,personalization,0
prasetyojahja@iportalexpress.com,control,generic,1
budhiabdurrahims@walkmail.ru,control,generic,0
hendrasj6@spaml.com,treatment,personalization,0
meuligoes6@girl4god.com,treatment,personalization,1
hafidzahkeumalahayati@hailmail.net,control,generic,1
sylvianakhansasg@mail2santa.com,control,generic,0
pitalokaindah@email.ru,treatment,personalization,0
andinirasyidah@mail2hongkong.com,treatment,personalization,0
darmawan@omaninfo.com,control,generic,0
rajakomarudino2h@sudoweb.net,treatment,personalization,0
annisadz@mail3000.com,treatment,personalization,0
muin5i@web-contact.info,control,generic,0
wibawa4@youareadork.com,control,generic,1
akifahs@kaffeeschluerfer.com,treatment,personalization,0
mahmud61@mail2junk.com,control,generic,0
jusufvv@fastyamaha.com,treatment,personalization,0
amat80j@mail2woman.com,treatment,personalization,0
dillaza@i.amhey.to,control,generic,0
bayufauzi48@msn.nl,control,generic,0
fairuzahhz@mail2mouseketeer.com,control,generic,0
kadirr26@outgun.com,treatment,personalization,0
amsalkautsarzv@automotiveauthority.com,control,generic,0
faizalaswin@mail2dearest.com,control,generic,0
jamiluddindaud05@trashmail.net,control,generic,0
lutfiyaho0@scientist.com,control,generic,0
skolastikawidyaningsih@mail2reggie.com,treatment,personalization,0
izzakn@mail2ok.com,control,generic,0
pitalokab1@ochakovo.net,treatment,personalization,1
bambanghamdan1j@webtopmail.com,treatment,personalization,0
ibrahimtd@fromsouthdakota.com,treatment,personalization,1
rasyidw@mail2cell.com,treatment,personalization,1
laelac@ukrtop.com,treatment,personalization,0
priniasundaridz@easypeasy.com,treatment,personalization,0
widyaningsihmasturar@scotlandmail.com,treatment,personalization,0
suryaniw@mail2irving.com,treatment,personalization,1
skolastika@mailpokemon.com,treatment,personalization,0
khairinanirmalan@will-hier-weg.de,control,generic,1
rennyad@freudenkinder.de,control,generic,0
mardiahputry@the-gremlin.com,treatment,personalization,1
husniyaheni78@fromminnesota.com,control,generic,0
juwariyahhts@disciples.com,treatment,personalization,0
nabilahaprilia@domforfb1.tk,control,generic,0
effendymahmudjq@planetaccess.com,treatment,personalization,0
abdurrasyidputray@blumail.org,control,generic,0
alifqn@mail2israel.com,control,generic,0
damar4oo@monemail.com,control,generic,0
mahbub@mail2tony.com,treatment,personalization,0
cecengmahfudz@live.dk,control,generic,0
aidahhm@nybella.com,treatment,personalization,1
aringabdurohmanz9@mail2junk.com,treatment,personalization,0
kamilahindah3n@bigpond.au,control,generic,0
masudahsuryaningsih47r@shitware.nl,treatment,personalization,0
rizqiyaningsih@mail2brook.com,control,generic,0
abdurrasyidagoengd9k@pinoymail.com,treatment,personalization,1
utamibulan3@voo.be,control,generic,0
sutrisnoir@ptd.net,treatment,personalization,0
muzaimahekadbc@greensloth.com,control,generic,0
jakahasan7zs@jetable.de,control,generic,0
afendifc6@phone.net,control,generic,1
delliayunirh@mail2rare.com,treatment,personalization,1
tana6y@24horas.com,treatment,personalization,0
firdausslametfh1@email.su,control,generic,0
arifinteguhl@y7mail.com,control,generic,0
bethariakhmatt@cuemail.com,control,generic,0
fadlankasep@vcmail.com,treatment,personalization,0
divanyapo@tempmaildemo.com,control,generic,0
saktiepl@iscooler.com,treatment,personalization,0
dallywachidt@zionweb.org,control,generic,0
ishak22@wptamail.com,control,generic,0
adityassetiawanqt@moakt.com,control,generic,0
frizarizkiqfy@findmail.com,treatment,personalization,1
fitriananajibahbm@bresnan.net,treatment,personalization,1
afandif@mail2paris.com,treatment,personalization,0
melurwahidahf0@mail2vince.com,treatment,personalization,0
azmi@mail2ernie.com,treatment,personalization,0
alamyoyakimj4o@fuse.net,treatment,personalization,0
puspitaq_@mail2kathleen.com,control,generic,1
puspamemoir5@alice.it,treatment,personalization,0
fandyp88@rootprompt.org,control,generic,1
joesoefp7@cmpmail.com,control,generic,0
gugumjahjab@mail.misterpinball.de,treatment,personalization,0
agusamranb5@wheelweb.com,treatment,personalization,0
maman9w@maxmail.co.uk,treatment,personalization,0
riwinm@alphafrau.de,control,generic,0
fachry07u@bresnan.net,treatment,personalization,0
nafizahhumaidah1@sharedmailbox.org,treatment,personalization,0
rataz_@online.nl,control,generic,0
zuraidahn@mail2harry.com,treatment,personalization,0
nanikenihf9@prydirect.info,control,generic,1
suriawati3u@project2k.com,control,generic,1
yovitakgg@tunisiamail.com,treatment,personalization,0
rinduqk@topmail-files.de,control,generic,0
febriantimeilinau@money.net,treatment,personalization,0
sulaeman@ziplip.com,treatment,personalization,0
endanglukym@xoom.com,treatment,personalization,0
abdurachmanxaveriussx@deafemail.net,treatment,personalization,1
mulyaningsihfakhriyahod@codec.ro.ro,control,generic,0
andinimasturah5kx@domforfb7.tk,control,generic,0
syukrix3@mail2sailor.com,treatment,personalization,0
lutfiyahwatio@mail2grace.com,control,generic,0
osha2k_@gonavy.net,control,generic,0
candraningsihfalyau@wales2000.net,treatment,personalization,0
memedabas5@mail2economist.com,treatment,personalization,0
mahbubj@navigator.lv,control,generic,0
hartaafdhalt@rodrun.com,treatment,personalization,0
nasiraha@mail2v.com,treatment,personalization,0
khalifahcipta0o@emailz.gq,control,generic,0
farihahnur@mail2susan.com,control,generic,0
junaidielyas2h@hot-mail.gq,treatment,personalization,0
wangi5@mail2notus.com,control,generic,0
wayan9l@quakemail.com,treatment,personalization,0
rohimkuwatta0@ciudad.com.ar,control,generic,0
novitar@shitaway.usa.cc,control,generic,1
prettynurhidayah2e1@1colony.com,treatment,personalization,0
abdrahman5d@cfl.rr.com,control,generic,0
ardy1@xoxy.net,treatment,personalization,0
yohaneserlanggat9@jmail.co.za,treatment,personalization,1
rivinadesiyanti9@big5mail.com,treatment,personalization,1
nadhaa8@she.com,control,generic,0
putroeg@scientist.com,control,generic,1
mokamad8@orthodontist.net,treatment,personalization,1
japar@nospamthanks.info,control,generic,0
mutia@vote-hillary.com,control,generic,0
agusl@q.com,control,generic,0
jahjateukuu5l@1musicrow.com,treatment,personalization,1
azizulsatrioca@ourklips.com,treatment,personalization,0
febriyantoarifm5@toughguy.net,control,generic,0
sari@fast-mail.org,control,generic,1
made@torba.com,treatment,personalization,0
wachidlesmanaqe1@mfsa.ru,treatment,personalization,0
bagusizzakar@mail2normal.com,treatment,personalization,0
abramarezki@mail-temporaire.fr,treatment,personalization,0
humairah3@acceso.or.cr,control,generic,0
khairunnisaanindita@kabissa.org,control,generic,0
saidahhafizab@mail2teletubbie.com,treatment,personalization,0
ismatullahyrw@arabia.com,control,generic,1
atirahw_b@mail2rod.com,treatment,personalization,0
kurniau@keko.com.ar,treatment,personalization,0
shofiyaht@verlass-mich-nicht.de,treatment,personalization,0
hasyimm@mantraonline.com,treatment,personalization,0
muammarw2@caramail.com,treatment,personalization,1
tsarina@mail2fond.com,treatment,personalization,1
rindu@mail2diana.com,control,generic,1
amirah50@atlas.cz,control,generic,0
meilinanadimahu@art-en-ligne.pro,treatment,personalization,1
muchlisaryof@outlook.ie,treatment,personalization,0
rikan@cong.ru,treatment,personalization,1
sulaemantaufiqk2@mail2cardinal.com,control,generic,0
